"Date","Open","High","Low","Close","Adj Close","Volume"
"2010-01-04",7.6225,7.660714,7.585,7.643214,6.553025,493729600
"2010-01-05",7.664286,7.699643,7.616071,7.656429,6.564355,601904800
"2010-01-06",7.656429,7.686786,7.526786,7.534643,6.459939,552160000
"2010-01-07",7.5625,7.571429,7.466071,7.520714,6.447999,477131200
"2010-01-08",7.510714,7.571429,7.466429,7.570714,6.490865,447610800
"2010-01-11",7.6,7.607143,7.444643,7.503929,6.433607,462229600
"2010-01-12",7.471071,7.491786,7.372143,7.418571,6.360425,594459600
"2010-01-13",7.423929,7.533214,7.289286,7.523214,6.450142,605892000
"2010-01-14",7.503929,7.516429,7.465,7.479643,6.412785,432894000
"2010-01-15",7.533214,7.557143,7.3525,7.354643,6.305614,594067600
"2010-01-19",7.440357,7.685357,7.401429,7.68,6.584566,730007600
"2010-01-20",7.675357,7.698214,7.482143,7.561786,6.483211,612152800
"2010-01-21",7.574286,7.618214,7.400357,7.431071,6.37114,608154400
"2010-01-22",7.385,7.410714,7.041429,7.0625,6.05514,881767600
"2010-01-25",7.2325,7.310714,7.149643,7.2525,6.21804,1065699600
"2010-01-26",7.355357,7.6325,7.235,7.355,6.305922,1867110000
"2010-01-27",7.3875,7.520714,7.126071,7.424286,6.365323,1722568400
"2010-01-28",7.318929,7.339286,7.096429,7.1175,6.102295,1173502400
"2010-01-29",7.181429,7.221429,6.794643,6.859286,5.880912,1245952400
"2010-02-01",6.870357,7,6.832143,6.954643,5.962669,749876400
"2010-02-02",6.996786,7.011429,6.906429,6.995,5.99727,698342400
"2010-02-03",6.970357,7.15,6.943571,7.115357,6.100459,615328000
"2010-02-04",7.026071,7.084643,6.841786,6.858929,5.880607,757652000
"2010-02-05",6.879643,7,6.816071,6.980714,5.985021,850306800
"2010-02-08",6.988929,7.067143,6.928571,6.932857,5.943989,478270800
"2010-02-09",7.015,7.053571,6.955357,7.006786,6.007374,632886800
"2010-02-10",6.996071,7.021429,6.937857,6.968571,5.97461,370361600
"2010-02-11",6.96,7.133929,6.930714,7.095357,6.083312,550345600
"2010-02-12",7.075357,7.201429,6.982143,7.156429,6.135673,655468800
"2010-02-16",7.212143,7.274643,7.197143,7.264286,6.228145,543737600
"2010-02-17",7.2925,7.296786,7.173571,7.233929,6.202118,436396800
"2010-02-18",7.201071,7.281786,7.175714,7.2475,6.213755,422825200
"2010-02-19",7.209286,7.257143,7.1825,7.2025,6.175173,415469600
"2010-02-22",7.226429,7.232143,7.113929,7.157857,6.136898,390563600
"2010-02-23",7.142857,7.190357,6.989643,7.037857,6.034012,575094800
"2010-02-24",7.079643,7.194286,7.065714,7.166429,6.144247,460566400
"2010-02-25",7.049286,7.245,7.031786,7.214286,6.185277,665126000
"2010-02-26",7.227857,7.3275,7.214286,7.307857,6.265501,507460800
"2010-03-01",7.348214,7.482143,7.3375,7.463929,6.399312,550093600
"2010-03-02",7.4975,7.529643,7.419286,7.458929,6.395025,566546400
"2010-03-03",7.462143,7.495357,7.426429,7.476071,6.409722,372052800
"2010-03-04",7.474286,7.532857,7.451071,7.525357,6.451978,366041200
"2010-03-05",7.676429,7.846429,7.665357,7.819643,6.70429,899620400
"2010-03-08",7.8575,7.860357,7.794643,7.824286,6.70827,429889600
"2010-03-09",7.796786,8.035714,7.781786,7.965,6.828912,920259200
"2010-03-10",7.993929,8.052857,7.971429,8.03,6.884641,596218000
"2010-03-11",7.996786,8.053571,7.975714,8.053571,6.904851,405700400
